('olegvodnik', 8.456875032510449e-05), 
('aullik5', 8.451210609234625e-05), 
('tang-zhi-miao', 8.44912692746894e-05), 
('san-chong-bu-tong-de-hong-se', 8.43901194480668e-05), 
('xjiangxjxjxjx', 8.427872282570979e-05), 
('shun-chao-89', 8.427854385949892e-05), 
('wuda', 8.42669714204771e-05), 
('FireWolf', 8.423261965927948e-05), 
('qingwan', 8.417468723836337e-05), 
('yang-si-min-amy', 8.407168776411556e-05), 
('xuemanzi', 8.4047083560038e-05), 
('chen-yao-39-75', 8.39063095027545e-05), 
('si-tong-11', 8.386644011247125e-05), 
('weng-xin-79', 8.375143670146552e-05), 
('ruler54', 8.364228871152685e-05), 
('mandelbrot-11', 8.360272553543657e-05), 
('chen-shi-30', 8.34692975888473e-05), 
('Hefte', 8.344665985245264e-05), 
('jianshuo', 8.335246837081087e-05), 
('xiong-xi-ling', 8.33318802373668e-05), 
('nalanwui', 8.32798102721745e-05), 
('shi-yidian-ban-98', 8.324530332420846e-05), 
('lachel', 8.321669865386605e-05), 
('sa-miu-47-86', 8.319546433163525e-05), 
('limingyuan', 8.318303827957162e-05), 
('morghulisdohaeris', 8.31707331503567e-05), 
('clearstars', 8.311965917979585e-05), 
('shi-tu-zi', 8.30559601119614e-05), 
('kan-ou-li', 8.300841604230575e-05), 
('cherry924', 8.29751860124047e-05), 
('huang-you-feng', 8.288280561137375e-05), 
('beixr', 8.287339551413469e-05), 
('wuvist', 8.28059465666748e-05), 
('tian-shun', 8.277488758747179e-05), 
('jian-li-li', 8.273994313426278e-05), 
('sgt-pepper', 8.26537380915289e-05), 
('chunliang', 8.264010867174369e-05), 
('xiao-biao-mei-48', 8.255392973528954e-05), 
('andiely921', 8.253109782058727e-05), 
('datoupy', 8.227488635511603e-05), 
('seasee-youl', 8.218360968705397e-05), 
('an-lin-76', 8.212435886340293e-05), 
('zhuang-ye-ma', 8.211457487138667e-05), 
('xiao-li-wa', 8.210736937397312e-05), 
('sydneycarton', 8.207202799623606e-05), 
('dandanjie', 8.181710962178831e-05), 
('shang-guan-xiao-mo', 8.167107466657872e-05), 
('byvoid', 8.139678814701341e-05), 
('yuan-lei-64', 8.13025550142572e-05), 
('mu-dao-chou', 8.122003051063126e-05), 
('evanyou', 8.121405232685503e-05), 
('xu-tong-kai', 8.120516702160546e-05), 
('niu-ji-ye', 8.119240198154311e-05), 
('serena-locke', 8.11388559409923e-05), 
('ibuick', 8.110727830501312e-05), 
('dadaoke', 8.103005023449834e-05), 
('tu-si-ji-da-lao-ye', 8.101051798533783e-05), 
('niu-bi-21-47', 8.098697673757015e-05), 
('qiuye', 8.087451224279428e-05), 
('wang-heng-tong', 8.07802803842181e-05), 
('wenmingvs', 8.076038906158452e-05), 
('chen-xi-43-38', 8.066860470356708e-05), 
('fredericchen', 8.055914828212039e-05), 
('yin-xiao-tian', 8.053350625800718e-05), 
('yuanxiafeel', 8.040305162535894e-05), 
('the-deer-hunter', 8.039515687546304e-05), 
('Ning_Zhu', 8.026096505275132e-05), 
('svenshi', 8.010842232224547e-05), 
('realfish', 8.005766118522602e-05), 
('chaersiyu', 8.00335953191291e-05), 
('lu-xiao-yi-54', 7.994010263263066e-05), 
('zhongxm', 7.99032958401627e-05), 
('tu-zi-31-55', 7.988041880283542e-05), 
('tongxia', 7.986361453405134e-05), 
('wen-yi-fei-31', 7.98625120822783e-05), 
('da-lian-cheng-zai-xiao-xiong', 7.983705441509537e-05), 
('gu-zi-ming', 7.982223657223665e-05), 
('wang-dan-5-78', 7.978949628036563e-05), 
('histart', 7.975675844960402e-05), 
('ju-yu-79', 7.973548727458006e-05), 
('forensic', 7.972682384569365e-05), 
('wang-xue-yan-21', 7.967647442112837e-05), 
('ma-ge-ji-36', 7.966929659207402e-05), 
('trinea', 7.966406345770386e-05), 
('yang-xiao-91-41', 7.964426137203541e-05), 
('yuanmu96', 7.963040018087154e-05), 
('charles-wang-2012', 7.954362778888822e-05), 
('wayneshiong', 7.952480765644516e-05), 
('grapeot', 7.929826409358835e-05), 
('xu-yicha-18', 7.925877542287498e-05), 
('jyo-gan', 7.917028403233655e-05), 
('zhang-xun-kai', 7.912958773041591e-05), 
('yin-xiao-er', 7.903465413206236e-05), 
('simona-wen', 7.897505285719785e-05), 
('xie-ke-41', 7.881242580974997e-05), 
